Title,Year,DOI,Outcome,PlaceName,HabitatDescription,Latitude,Longitude,mapLat,mapLong,FirstYear,LastYear,SamplingYears,MaxTimeSeries,Timing,No.Taxa,Orders,SamplingMethod,DataAvailability
A northward shift of range margins in British Odonata,2005,NA,geographic range,UK,not reported,not reported,not reported,53.68278,-1.376446,1960,1995,20,10,not specified,37,Odonata,not specified,No statement
"An investigation of odonate communities within Wadi Sayq, Dhofar Province, Oman (Insecta: Odonata)",2014,10.15560/10.4.857,abundance,Wadi Sayq,"river valley bottom, wadi bed",16°44′44″ N; 16°44′29″ N; 16°44′3″ N; 16°44’6″ N; 16°44′2″ N; 16°44’0″ N; 16°43′54″ N; 16°43′50″ N; 16°43′53″ N; 16°43′52″ N,53°13′50″ E; 53°16′58″ E; 53°18′43″ E; 53°19′17″ E; 53°19′39″ E; 53°19′55″ E; 53°20′1″ E; 53°20′4″ E; 53°20′13″ E; 53°20′22″ E,16.745556,53.230556,2012,2013,2,2,dry season,20,Odonata ,white aerial nets,No statement
Changes in distribution and abundance of the endangered damselfly Mortonagrion hirosei Asahina (Zygoptera : Coenagrionidae) in a reed community artificially established for its conservation,2008,10.1007/s10841-007-9108-3,abundance,"Ise City, Japan",artificial wetland,not reported,not reported ,34.482383,136.701915,2003,2006,4,4,summer,1,Odonata ,line transect method,No statement
Changes in the range of dragonflies in the Netherlands and the possible role of temperature change,2010,NA,occurrence (presence/absence),Netherlands,not reported,not reported,not reported ,52.269589,5.723956,1980,2003,24,24,not specified,60,Odonata,not specified,No statement
Climatic niche divergence or conservatism? Environmental niches and range limits in ecologically similar damselfiies,2012,NA,abundance,Sweden and Finland,not reported,55.6-66.2,13.1 - 29.6,62.122473,16.285873,2007,2009,3,3,summer,2,Odonata ,visual survey,No statement
Do dragonflies migrate across the western Indian Ocean?,2009,NA,abundance,"Male, Maldives",urban,not reported,not reported,4.174747,73.509604,2002,2007,6,6,dry season,7,Odonata,visual survey,No statement
Dragonfly community re-organisation in boreal forest lakes: rapid species turnover driven by climate change?,2008,10.1111/j.1752-4598.2008.00020.x,"species richness and other diversity indices (e.g. Shannon, Simpson); occurrence (presence/absence); abundance","province of Uppland, central Sweden",lake / aquatic system,not reported,not reported,60.084708,17.784313,1996,2006,2,1,summer,35,Odonata,"standard student's water net, diameter 22 cm, mesh size of 1.5 mm",No statement
Effects of land use on trophic states and multi-taxonomic diversity in Japanese farm ponds,2017,NA,"species richness and other diversity indices (e.g. Shannon, Simpson)","Kako River Basin of Hyogo Prefecture, western Japan",farm ponds,not reported,not reported,35.144747,134.720485,2006,2008,2,1,summer,59,Odonata,visual survey,No statement
Emerging dragonfly diversity at small Rhode Island (U.S.A.) wetlands along an urbanization gradient [electronic resource],2010,10.1007/s11252-010-0133-8 and 10.1007/s11252-010-0133-8,"species richness and other diversity indices (e.g. Shannon, Simpson)",Rhode Island,wetland,requires digitization,requires digitization,41.614314,-71.516655,2004,2005,2,2,summer,at least 20,Odonata,visual survey,No statement
Evolutionary Time-Series Analysis Reveals the Signature of Frequency-Dependent Selection on a Female Mating Polymorphism,2015,NA,abundance,"outside Lund, province of Skane, southern Sweden",ponds,not reported,not reported,55.733272,13.220101,2000,2011,12,12,summer,1,Odonata ,not specified; capture,"Yes, data archived"
"Fishing-induced changes in predation pressure by perch (Perca fluviatilis) regulate littoral benthic macroinvertebrate biomass, density, and community structure",2018,10.1007/s10452-017-9641-4 and 10.1007/s10452-017-9641-4,biomass,"Evo district, southern Finland; Lake Iso Valkjarvi",aquatic system,61 13 N,25 12 E,60.957877,26.212417,2007,2012,6,6,autumn,not specified,Diptera; Coleoptera; Ephemeroptera; Megaloptera; Odonata; Trichoptera,"tube sampler, diameter 86 mm",No statement
HABITAT AND SEASONALITY AS NICHE AXES IN AN ODONATE COMMUNITY,1982,10.2307/1937245,abundance; biomass,"Ecology Pond at Bays Mountain Park, Sullivan County, Tennessee, USa",pond in a nature preserve within a city,not reported,not reported,36.507756,-82.613483,1977,1979,3,3,"year-round, minus three winter months",46,Odonata,standard sweep,No statement
Inter-annual variation in prevalence and intensity of mite parasitism relates to appearance and expression of damselfly resistance,2010,NA,abundance,"Barb's Marsh near Queen's University Biology Station in eastern Ontario, Canada",marsh,45 37 N,76 13 W,44.567789,-76.324976,2002,2008,6,5,spring,1,Odonata ,emergence traps,No statement
LIFETIME REPRODUCTIVE SUCCESS OF FEMALES OF THE DAMSELFLY COENAGRION-PUELLA,1987,10.2307/4950,abundance,"Bungalow Pond, Wirral",pond,not reported,not reported,53.326998,-3.060878,1983,1984,2,2,summer,1,Odonata ,capture and individual marking,No statement
NEGATIVE FREQUENCY-DEPENDENT SELECTION IN FEMALE COLOR POLYMORPHISM OF A DAMSELFLY,2010,10.1111/j.1558-5646.2010.01083.x,abundance,Ibaraki Prefecture,pond,not reported ,not reported,36.625375,140.460461,2005,2009,5,1,year-round,1,Odonata,visual survey,"Yes, data archived"
